id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1639158908165013504,1639158908165013504,2023-03-24 13:55:12 +07,2023-03-24,13:55:12,+0700,44196397,elonmusk,Elon Musk,,Clippy is the real paperclip problem,en,[],[],[],2870,2639,36789,[],[],https://twitter.com/elonmusk/status/1639158908165013504,False,,0,,,,,,,,[],,,,
1639138603371491329,1639138603371491329,2023-03-24 12:34:31 +07,2023-03-24,12:34:31,+0700,44196397,elonmusk,Elon Musk,,"As part of their investment, Microsoft gained exclusive access to the entire OpenAI codebase",en,[],[],[],10713,16932,144622,[],[],https://twitter.com/elonmusk/status/1639138603371491329,False,,0,,,,,,,,[],,,,
1639136785346228225,1639136785346228225,2023-03-24 12:27:17 +07,2023-03-24,12:27:17,+0700,44196397,elonmusk,Elon Musk,,Sure would be ironic if civilization ended because of a fight over browser/search market share,en,[],[],[],6003,8311,92647,[],[],https://twitter.com/elonmusk/status/1639136785346228225,False,,0,,,,,,,,[],,,,
1637992716679127042,1637992716679127042,2023-03-21 08:41:10 +07,2023-03-21,08:41:10,+0700,44196397,elonmusk,Elon Musk,,Follow @HelpfulNotes to read highly rated @CommunityNotes,en,"[{'screen_name': 'helpfulnotes', 'name': 'helpful community notes', 'id': '1601029807604527106'}, {'screen_name': 'communitynotes', 'name': 'community notes', 'id': '1319036828964454402'}]",[],[],3301,2978,24560,[],[],https://twitter.com/elonmusk/status/1637992716679127042,False,,0,,,,,,,,[],,,,
1637511926925127680,1637511926925127680,2023-03-20 00:50:41 +07,2023-03-20,00:50:41,+0700,44196397,elonmusk,Elon Musk,,A latte is really just an excuse for adults to order warm milk without sounding like a baby,en,[],[],[],18999,24406,283131,[],[],https://twitter.com/elonmusk/status/1637511926925127680,False,,0,,,,,,,,[],,,,
1637420728743088130,1637420728743088130,2023-03-19 18:48:18 +07,2023-03-19,18:48:18,+0700,44196397,elonmusk,Elon Musk,,press@twitter.com now auto responds with 💩,en,[],[],[],9812,7174,88980,[],[],https://twitter.com/elonmusk/status/1637420728743088130,False,,0,,,,,,,,[],,,,
1637331821439463425,1637331821439463425,2023-03-19 12:55:01 +07,2023-03-19,12:55:01,+0700,44196397,elonmusk,Elon Musk,,en tro py … en tro py … no escaping that for me,en,[],[],[],6937,4119,52815,[],[],https://twitter.com/elonmusk/status/1637331821439463425,False,,0,,,,,,,,[],,,,
1637235385070678017,1637235385070678017,2023-03-19 06:31:48 +07,2023-03-19,06:31:48,+0700,44196397,elonmusk,Elon Musk,,"This platform is growing fast!   Just exceeded 8 billion user-minutes per day … of the most influential, smartest people on Earth 😉",en,[],[],[],17249,23481,245577,[],[],https://twitter.com/elonmusk/status/1637235385070678017,False,,0,,,,,,,,[],,,,
1637198368714772486,1637198368714772486,2023-03-19 04:04:43 +07,2023-03-19,04:04:43,+0700,44196397,elonmusk,Elon Musk,,"In the coming weeks, Twitter will prioritize replies by:  1. People you follow 2. Verified accounts 3. Unverified accounts  Verified accounts are 1000X harder to game by bot &amp; troll armies.  There is great wisdom to the old saying: “You get what you pay for.”",en,[],[],[],18212,16555,140716,[],[],https://twitter.com/elonmusk/status/1637198368714772486,False,,0,,,,,,,,[],,,,
1637039810488483841,1637039810488483841,2023-03-18 17:34:40 +07,2023-03-18,17:34:40,+0700,44196397,elonmusk,Elon Musk,,Engineering is true magic,en,[],[],[],13180,22331,182864,[],[],https://twitter.com/elonmusk/status/1637039810488483841,False,,0,,,,,,,,[],,,,
1640567359307145217,1640567359307145217,2023-03-28 11:11:53 +07,2023-03-28,11:11:53,+0700,44196397,elonmusk,Elon Musk,,"Of course, you need to have good customer service for money.   Working on it …",en,[],[],[],6296,4840,64836,[],[],https://twitter.com/elonmusk/status/1640567359307145217,False,,0,,,,,,,,[],,,,
1640502698549075972,1640502698549075972,2023-03-28 06:54:57 +07,2023-03-28,06:54:57,+0700,44196397,elonmusk,Elon Musk,,"Starting April 15th, only verified accounts will be eligible to be in For You recommendations.  The is the only realistic way to address advanced AI bot swarms taking over. It is otherwise a hopeless losing battle.  Voting in polls will require verification for same reason.",en,[],[],[],46905,20051,174991,[],[],https://twitter.com/elonmusk/status/1640502698549075972,False,,0,,,,,,,,[],,,,
